section	model	plan	axis	accuracy	support	summary_score
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_3	0.9411764705882353	17	-0.04347826086956519
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_4	0.9333333333333333	15	-0.04347826086956519
turn_trend	scale-phi4-4b-base.tsv	ACTION_VIEW_RECENT_APPS	turn_5	0.9565217391304348	23	-0.04347826086956519
turn_trend	scale-phi4-4b-base.tsv	ACTION_INSERT_CONTACT	turn_2	0.3	10	-0.060869565217391286
turn_trend	scale-phi4-4b-base.tsv	ACTION_INSERT_CONTACT	turn_3	0.5333333333333333	30	-0.060869565217391286
turn_trend	scale-phi4-4b-base.tsv	ACTION_INSERT_CONTACT	turn_4	0.4375	48	-0.060869565217391286
turn_trend	scale-phi4-4b-base.tsv	ACTION_INSERT_CONTACT	turn_5	0.2391304347826087	46	-0.060869565217391286
turn_trend	scale-phi4-4b-base.tsv	ACTION_GET_RINGTONE	turn_2	0.9166666666666666	12	-0.06481481481481477
turn_trend	scale-phi4-4b-base.tsv	ACTION_GET_RINGTONE	turn_3	1.0	12	-0.06481481481481477
turn_trend	scale-phi4-4b-base.tsv	ACTION_GET_RINGTONE	turn_4	0.9583333333333334	24	-0.06481481481481477
turn_trend	scale-phi4-4b-base.tsv	ACTION_GET_RINGTONE	turn_5	0.8518518518518519	27	-0.06481481481481477
turn_trend	scale-phi4-4b-base.tsv	ACTION_CREATE_DOCUMENT	turn_2	1.0	17	-0.07407407407407407
turn_trend	scale-phi4-4b-base.tsv	ACTION_CREATE_DOCUMENT	turn_3	1.0	12	-0.07407407407407407
turn_trend	scale-phi4-4b-base.tsv	ACTION_CREATE_DOCUMENT	turn_4	0.8928571428571429	28	-0.07407407407407407
turn_trend	scale-phi4-4b-base.tsv	ACTION_CREATE_DOCUMENT	turn_5	0.9259259259259259	27	-0.07407407407407407
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_TIMER	turn_2	0.5555555555555556	9	-0.13620071684587814
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_TIMER	turn_3	0.35714285714285715	14	-0.13620071684587814
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_TIMER	turn_4	0.30434782608695654	23	-0.13620071684587814
turn_trend	scale-phi4-4b-base.tsv	ACTION_SET_TIMER	turn_5	0.41935483870967744	31	-0.13620071684587814
turn_trend	scale-phi4-4b-base.tsv	ACTION_OPEN_CONTENT	turn_2	0.4444444444444444	9	-0.14087301587301587
turn_trend	scale-phi4-4b-base.tsv	ACTION_OPEN_CONTENT	turn_3	0.4166666666666667	24	-0.14087301587301587
turn_trend	scale-phi4-4b-base.tsv	ACTION_OPEN_CONTENT	turn_4	0.275	40	-0.14087301587301587
turn_trend	scale-phi4-4b-base.tsv	ACTION_OPEN_CONTENT	turn_5	0.30357142857142855	56	-0.14087301587301587
turn_trend	scale-phi4-4b-base.tsv	send_email	turn_2	0.5625	16	-0.1736111111111111
turn_trend	scale-phi4-4b-base.tsv	send_email	turn_3	0.40625	32	-0.1736111111111111
turn_trend	scale-phi4-4b-base.tsv	send_email	turn_4	0.38095238095238093	42	-0.1736111111111111
turn_trend	scale-phi4-4b-base.tsv	send_email	turn_5	0.3888888888888889	36	-0.1736111111111111
turn_trend	scale-phi4-4b-base.tsv	play_music	turn_2	0.5833333333333334	12	-0.21296296296296302
turn_trend	scale-phi4-4b-base.tsv	play_music	turn_3	0.16666666666666666	12	-0.21296296296296302
turn_trend	scale-phi4-4b-base.tsv	play_music	turn_4	0.35714285714285715	28	-0.21296296296296302
turn_trend	scale-phi4-4b-base.tsv	play_music	turn_5	0.37037037037037035	27	-0.21296296296296302
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_ALARM	turn_2	0.84	25	-0.38166666666666665
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_ALARM	turn_3	0.47619047619047616	42	-0.38166666666666665
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_ALARM	turn_4	0.6666666666666666	21	-0.38166666666666665
turn_trend	scale-phi4-4b-base.tsv	ACTION_EDIT_ALARM	turn_5	0.4583333333333333	24	-0.38166666666666665
